,Topic,Word,P
1102,55,nut,0.019208023324608803
1103,55,squirrel,0.019071239978075027
1104,55,roderick,0.01767551526427269
1105,55,garland,0.017492283135652542
1106,55,rowland,0.016218697652220726
1107,55,hudson,0.008580002002418041
1108,55,georgiana,0.007551877293735743
1109,55,wasp,0.006930745672434568
1110,55,staines,0.006697125732898712
1111,55,chick,0.006316580343991518
1112,55,cub,0.0060903034172952175
1113,55,make,0.005569975357502699
1114,55,little,0.005282645113766193
1115,55,christie,0.005279035773128271
1116,55,come,0.005262089893221855
1117,55,pouch,0.004987891297787428
1118,55,day,0.004824926611036062
1119,55,falcon,0.004761847201734781
1120,56,london,0.02234547585248947
1121,56,english,0.02172801084816456
1122,56,england,0.021652834489941597
1123,56,american,0.017823098227381706
1124,56,lord,0.012498057447373867
1125,56,great,0.011866949498653412
1126,56,country,0.009920145384967327
1127,56,house,0.008096043951809406
1128,56,people,0.007076810114085674
1129,56,day,0.006947419606149197
1130,56,englishman,0.006924488581717014
1131,56,rst,0.006233385764062405
1132,56,british,0.0061560338363051414
1133,56,old,0.00586700439453125
1134,56,sir,0.00576369185000658
1135,56,america,0.00544124748557806
1136,56,many,0.005254517309367657
1137,56,time,0.005073049105703831
1138,56,make,0.005044074729084969
1139,56,good,0.004843545146286488
1140,57,men,0.012298614718019962
1141,57,people,0.011734474450349808
1142,57,public,0.009662429802119732
1143,57,political,0.0074639045633375645
1144,57,good,0.007124200463294983
1145,57,make,0.006821849849075079
1146,57,man,0.006165140308439732
1147,57,government,0.0058965678326785564
1148,57,great,0.005734624806791544
1149,57,social,0.00555093539878726
1150,57,right,0.00547941867262125
1151,57,state,0.005201989319175482
1152,57,country,0.0045044319704174995
1153,57,system,0.004450483713299036
1154,57,class,0.004389096051454544
1155,57,law,0.004218016751110554
1156,57,question,0.004180896561592817
1157,57,even,0.00415666913613677
1158,57,party,0.00414273189380765
1159,57,many,0.004091809969395399
1160,58,smith,0.18207073211669922
1161,58,ray,0.12794741988182068
1162,58,ford,0.04038709029555321
1163,58,kane,0.019810955971479416
1164,58,epidemic,0.01884928159415722
1165,58,cyrus,0.015780717134475708
1166,58,mac,0.013111667707562447
1167,58,hector,0.012410053983330727
1168,58,plague,0.011765506118535995
1169,58,vulture,0.008315417915582657
1170,58,boynton,0.007870117202401161
1171,58,humphrey,0.007567372638732195
1172,58,fever,0.007518371567130089
1173,58,shaker,0.007245664484798908
1174,58,bombay,0.006979195401072502
1175,58,stedman,0.006818598136305809
1176,58,wilmington,0.006756541784852743
1177,58,cholera,0.006197842303663492
1178,58,hitchcock,0.006193727720528841
1179,58,pencroff,0.0061240894719958305
1180,59,new,0.10988254100084305
1181,59,york,0.0780039131641388
1182,59,city,0.04325418919324875
1183,59,boston,0.018990984186530113
1184,59,street,0.015036516822874546
1185,59,chicago,0.01345947664231062
1186,59,year,0.013352933339774609
1187,59,philadelphia,0.011507708579301834
1188,59,washington,0.00913537573069334
1189,59,send,0.007718629203736782
1190,59,american,0.006134859751909971
1191,59,make,0.004750482738018036
1192,59,broadway,0.004474876914173365
1193,59,orleans,0.004174467176198959
1194,59,park,0.004150707740336657
1195,59,west,0.0037944901268929243
1196,59,jersey,0.003762724343687296
1197,59,america,0.0035566561855375767
1198,59,free,0.00353734428063035
1199,59,brooklyn,0.0035049349535256624
1200,60,food,0.026333831250667572
1201,60,body,0.020397033542394638
1202,60,fat,0.018018245697021484
1203,60,alcohol,0.015091590583324432
1204,60,experiment,0.014408859424293041
1205,60,ounce,0.014329498633742332
1206,60,agatha,0.013382082805037498
1207,60,quantity,0.010483872145414352
1208,60,contain,0.009199870750308037
1209,60,compound,0.009070203639566898
1210,60,rufus,0.00897703506052494
1211,60,energy,0.008787769824266434
1212,60,make,0.008439309895038605
1213,60,keats,0.008406016044318676
1214,60,acid,0.00819768849760294
1215,60,meat,0.008076009340584278
1216,60,amount,0.008072914555668831
1217,60,kit,0.007475543301552534
1218,60,collins,0.007062843535095453
1219,60,material,0.006973277777433395
1220,61,thomas,0.08051159977912903
1221,61,andrew,0.06386498361825943
1222,61,jefferson,0.035832323133945465
1223,61,sandy,0.032571446150541306
1224,61,und,0.022396769374608994
